id,partido_id,equipo_id,persona_id,tipo_evento,minuto,segundo,periodo
207610,cmlmgwve1001op4zcjdxcfrl5,adrithlvwtdhgcxm44467psde,ovpumvhksajmqgok70299mghe,Falta,4,37,1
207785,cmlmgwve1001op4zcjdxcfrl5,clv9y14tc0002s5sdcij3kdes,yzpzoxutljxrhlqy72663iydo,Gol,23,17,2
207792,cmlmgwve1001op4zcjdxcfrl5,clv9y14tc0002s5sdcij3kdes,cewjaekofdtmwcud79119vmbs,Falta,23,58,2
207627,cmlmgwve1001op4zcjdxcfrl5,clv9y14tc0002s5sdcij3kdes,qqpfagtxivawsyez53999saby,Falta,7,46,1
207817,cmlmgwve1001op4zcjdxcfrl5,clv9y14tc0002s5sdcij3kdes,pmskxxwzrhdbjzpb31162pnjm,Falta,26,33,2
207638,cmlmgwve1001op4zcjdxcfrl5,adrithlvwtdhgcxm44467psde,hjsrinfaixmsrlyw24434uatf,Falta,9,12,1
207821,cmlmgwve1001op4zcjdxcfrl5,clv9y14tc0002s5sdcij3kdes,pmskxxwzrhdbjzpb31162pnjm,Amarilla,26,33,2
207639,cmlmgwve1001op4zcjdxcfrl5,adrithlvwtdhgcxm44467psde,hjsrinfaixmsrlyw24434uatf,Amarilla,9,12,1
207866,cmlmgwve1001op4zcjdxcfrl5,clv9y14tc0002s5sdcij3kdes,pienlugvzzitxvny19774igut,Falta,28,1,2
207648,cmlmgwve1001op4zcjdxcfrl5,clv9y14tc0002s5sdcij3kdes,sqwqhvxspzepiwvg64420nqfy,Falta,10,18,1
207651,cmlmgwve1001op4zcjdxcfrl5,adrithlvwtdhgcxm44467psde,putsbbtxjfmsjbsp66101hlyl,Gol,11,37,1
207896,cmlmgwve1001op4zcjdxcfrl5,adrithlvwtdhgcxm44467psde,idjjqqqkdkwhlrnh60060pvoj,Falta,30,3,2
207901,cmlmgwve1001op4zcjdxcfrl5,adrithlvwtdhgcxm44467psde,idjjqqqkdkwhlrnh60060pvoj,Amarilla,30,3,2
207654,cmlmgwve1001op4zcjdxcfrl5,clv9y14tc0002s5sdcij3kdes,bqzipopvdxoribap48494nuva,Gol,11,57,1
